"filename", "language", "HTML", "CSS", "JavaScript", "YAML", "comment", "blank", "total"
"c:\Users\tinyplayerss\Documents\VSCode Workspaces\CustomBAR-Clone-Repo\CustomBAR\.github\workflows\static.yml", "YAML", 0, 0, 0, 30, 8, 6, 44
"c:\Users\tinyplayerss\Documents\VSCode Workspaces\CustomBAR-Clone-Repo\CustomBAR\bugreports.html", "HTML", 138, 0, 0, 0, 1, 14, 153
"c:\Users\tinyplayerss\Documents\VSCode Workspaces\CustomBAR-Clone-Repo\CustomBAR\custombar.css", "CSS", 0, 68, 0, 0, 1, 10, 79
"c:\Users\tinyplayerss\Documents\VSCode Workspaces\CustomBAR-Clone-Repo\CustomBAR\custombar.html", "HTML", 149, 0, 0, 0, 1, 2, 152
"c:\Users\tinyplayerss\Documents\VSCode Workspaces\CustomBAR-Clone-Repo\CustomBAR\custombar.js", "JavaScript", 0, 0, 136, 0, 31, 25, 192
"c:\Users\tinyplayerss\Documents\VSCode Workspaces\CustomBAR-Clone-Repo\CustomBAR\index.html", "HTML", 229, 0, 0, 0, 1, 23, 253
"c:\Users\tinyplayerss\Documents\VSCode Workspaces\CustomBAR-Clone-Repo\CustomBAR\newsletter.html", "HTML", 110, 0, 0, 0, 2, 12, 124
"c:\Users\tinyplayerss\Documents\VSCode Workspaces\CustomBAR-Clone-Repo\CustomBAR\skins\buttons\button.css", "CSS", 0, 9, 0, 0, 0, 1, 10
"c:\Users\tinyplayerss\Documents\VSCode Workspaces\CustomBAR-Clone-Repo\CustomBAR\skins\progress-bar\bar-fill.css", "CSS", 0, 16, 0, 0, 0, 2, 18
"c:\Users\tinyplayerss\Documents\VSCode Workspaces\CustomBAR-Clone-Repo\CustomBAR\skins\progress-bar\bar.css", "CSS", 0, 13, 0, 0, 0, 1, 14
"c:\Users\tinyplayerss\Documents\VSCode Workspaces\CustomBAR-Clone-Repo\CustomBAR\skins\text-goal\goal-title.css", "CSS", 0, 4, 0, 0, 0, 0, 4
"c:\Users\tinyplayerss\Documents\VSCode Workspaces\CustomBAR-Clone-Repo\CustomBAR\skins\text-label\label.css", "CSS", 0, 13, 0, 0, 0, 3, 16
"c:\Users\tinyplayerss\Documents\VSCode Workspaces\CustomBAR-Clone-Repo\CustomBAR\skins\user-input\input.css", "CSS", 0, 19, 0, 0, 0, 2, 21
"c:\Users\tinyplayerss\Documents\VSCode Workspaces\CustomBAR-Clone-Repo\CustomBAR\styles.css", "CSS", 0, 303, 0, 0, 7, 54, 364
"c:\Users\tinyplayerss\Documents\VSCode Workspaces\CustomBAR-Clone-Repo\CustomBAR\vulunteerform.html", "HTML", 141, 0, 0, 0, 1, 14, 156
"Total", "-", 767, 445, 136, 30, 53, 169, 1600
